Month wise production (in MT)
Aug, 2020	-	33,341	6,660	13,974	-	-	33,387	2,76,382	30,242	-	-	-	3,93,986
Sep, 2020	8,069	18,474	25,260	24,058	-	46,196	15,358	2,44,969	20,882	-	-	19,154	4,22,420
Oct, 2020	18,376	9,780	47,371	25,188	-	1,30,401	12,686	1,14,404	30,560	-	-	66,163	4,54,929
Nov, 2020	8,003	7,915	39,986	21,401	-	70,553	8,192	1,04,845	17,593	-	-	-	2,78,488
Dec, 2020	19,358	9,094	36,897	19,016	-	1,00,930	9,370	72,495	35,020	-	-	-	3,02,180
Jan,2021,	8,834	7,346	35,200	18,892	-	90,500	6,850	63,780	35,721	18,985	-	4,851	2,90,959
Feb,2021,	39,454	12,072	37,716	20,796	-	1,08,000	7,156	32,286	37,988	14,974	-	-	3,10,442
March,2021,	58,162	11,582	40,518	20,384	-	1,10,000	7,548	74,350	36,054	-	-	90,425	4,49,023
April,2021	42,830	1,22,330	45,732	19,590	 	1,18,600	9,570	52,352	 	 	 	 	4,11,004
May,2021	14,529	11,558	46,511	 	 	87,116	13,903	50,483	 	 	 	 	2,24,100
Grand Total	6,50,816	5,67,755	22,86,207	11,50,795	1,03,56,560	54,04,104	15,74,255	18,75,230	12,48,447	15,23,944	15,67,680	18,00,810	3,00,06,603
